,nombre,equipo,posicion,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejos
74,A. CORREA,ATLETICO DE MADRID,DELANTERO,84.0,79.0,76.0,87.0,53.0,74.0,,,,,,
75,JOAO FELIX,ATLETICO DE MADRID,DELANTERO,82.0,78.0,77.0,85.0,47.0,76.0,,,,,,
76,MATHEUS CUNHA,ATLETICO DE MADRID,DELANTERO,85.0,74.0,74.0,84.0,40.0,76.0,,,,,,
77,BONO,SEVILLA FC,PORTERO,,,,,,,48.0,79.0,78.0,75.0,77.0,81.0
78,M. DMITROVIC,SEVILLA FC,PORTERO,,,,,,,50.0,78.0,80.0,79.0,81.0,82.0
79,JAVI DIAZ,SEVILLA FC,PORTERO,,,,,,,68.0,67.0,61.0,65.0,63.0,68.0
80,DIEGO CARLOS,SEVILLA FC,DEFENSA,77.0,56.0,59.0,71.0,59.0,78.0,,,,,,
81,J. KOUNDE,SEVILLA FC,DEFENSA,79.0,38.0,61.0,73.0,63.0,80.0,,,,,,
82,M. ACUNA,SEVILLA FC,DEFENSA,76.0,79.0,83.0,83.0,68.0,80.0,,,,,,
83,J. NAVAS,SEVILLA FC,DEFENSA,87.0,70.0,80.0,85.0,68.0,70.0,,,,,,
84,G. MONTIEL,SEVILLA FC,DEFENSA,86.0,53.0,69.0,78.0,61.0,79.0,,,,,,
85,K. REKIK,SEVILLA FC,DEFENSA,66.0,39.0,54.0,62.0,54.0,72.0,,,,,,
86,L. AUGUSTINSSON,SEVILLA FC,DEFENSA,69.0,66.0,75.0,75.0,60.0,74.0,,,,,,
87,I. RAKITIC,SEVILLA FC,CENTROCAMPISTA,61.0,82.0,85.0,73.0,62.0,66.0,,,,,,
88,N. GUDELJ,SEVILLA FC,CENTROCAMPISTA,62.0,79.0,77.0,65.0,68.0,76.0,,,,,,
89,PAPU GOMEZ,SEVILLA FC,CENTROCAMPISTA,88.0,79.0,84.0,89.0,46.0,74.0,,,,,,
90,FERNANDO,SEVILLA FC,CENTROCAMPISTA,66.0,64.0,72.0,71.0,62.0,78.0,,,,,,
91,JOAN JORDAN,SEVILLA FC,CENTROCAMPISTA,65.0,76.0,79.0,72.0,55.0,70.0,,,,,,
92,OLIVER TORRES,SEVILLA FC,CENTROCAMPISTA,66.0,69.0,78.0,78.0,57.0,65.0,,,,,,
93,T. DELANEY,SEVILLA FC,CENTROCAMPISTA,77.0,72.0,74.0,75.0,67.0,82.0,,,,,,
94,TECATITO,SEVILLA FC,DELANTERO,84.0,71.0,79.0,87.0,66.0,75.0,,,,,,
95,L. OCAMPOS,SEVILLA FC,DELANTERO,82.0,78.0,78.0,82.0,56.0,83.0,,,,,,
96,A. MARTIAL,SEVILLA FC,DELANTERO,88.0,75.0,75.0,87.0,43.0,76.0,,,,,,
97,Y. EN-NESYRI,SEVILLA FC,DELANTERO,78.0,67.0,54.0,75.0,37.0,75.0,,,,,,
98,RAFA MIR,SEVILLA FC,DELANTERO,75.0,67.0,60.0,69.0,42.0,72.0,,,,,,
99,E. LAMELA,SEVILLA FC,DELANTERO,71.0,81.0,79.0,79.0,53.0,69.0,,,,,,
100,SUSO,SEVILLA FC,DELANTERO,78.0,81.0,82.0,84.0,37.0,68.0,,,,,,
101,MUNIR,SEVILLA FC,DELANTERO,80.0,77.0,74.0,83.0,39.0,72.0,,,,,,
102,IVAN ROMERO,SEVILLA FC,DELANTERO,79.5,74.625,72.625,80.75,46.625,73.75,,,,,,
103,RUI SILVA,BETIS,PORTERO,,,,,,,62.0,82.0,76.0,76.0,82.0,83.0
104,CLAUDIO BRAVO,BETIS,PORTERO,,,,,,,81.0,77.0,77.0,84.0,75.0,77.0
105,JOEL ROBLES,BETIS,PORTERO,,,,,,,59.0,76.0,73.0,72.0,73.0,77.0
106,M. BARTRA,BETIS,DEFENSA,73.0,60.0,71.0,73.0,63.0,77.0,,,,,,
107,ALEX MORENO,BETIS,DEFENSA,89.0,62.0,71.0,81.0,61.0,73.0,,,,,,
108,G. PEZZELLA,BETIS,DEFENSA,54.0,43.0,46.0,52.0,55.0,63.0,,,,,,
109,Y. SABALY,BETIS,DEFENSA,71.0,42.0,62.0,70.0,62.0,71.0,,,,,,
110,EDGAR GONZALEZ,BETIS,DEFENSA,52.0,36.0,55.0,57.0,53.0,63.0,,,,,,
111,H. BELLERIN,BETIS,DEFENSA,84.0,50.0,68.0,79.0,62.0,70.0,,,,,,
112,J. MIRANDA,BETIS,DEFENSA,63.0,43.0,60.0,65.0,56.0,65.0,,,,,,
113,V. RUIZ,BETIS,DEFENSA,54.0,50.0,65.0,57.0,55.0,72.0,,,,,,
114,M. MONTOYA,BETIS,DEFENSA,76.0,69.0,72.0,75.0,61.0,74.0,,,,,,
115,S. CANALES,BETIS,CENTROCAMPISTA,84.0,79.0,84.0,84.0,62.0,71.0,,,,,,
116,G. RODRIGUEZ,BETIS,CENTROCAMPISTA,56.0,56.0,63.0,60.0,57.0,65.0,,,,,,
117,N. FEKIR,BETIS,CENTROCAMPISTA,80.0,81.0,81.0,84.0,47.0,77.0,,,,,,
118,W. CARVALHO,BETIS,CENTROCAMPISTA,43.0,61.0,77.0,59.0,55.0,72.0,,,,,,
119,A. GUARDADO,BETIS,CENTROCAMPISTA,67.0,75.0,79.0,77.0,64.0,74.0,,,,,,
120,RODRI,BETIS,CENTROCAMPISTA,65.28571428571429,67.28571428571429,74.0,71.57142857142857,56.714285714285715,70.85714285714286,,,,,,
121,CAMARASA,BETIS,CENTROCAMPISTA,62.0,71.0,72.0,71.0,59.0,72.0,,,,,,
122,PAUL,BETIS,CENTROCAMPISTA,65.0,48.0,62.0,66.0,53.0,65.0,,,,,,
123,BORJA IGLESIAS,BETIS,DELANTERO,66.0,63.0,62.0,69.0,39.0,74.0,,,,,,
124,JUANMI,BETIS,DELANTERO,74.0,67.0,67.0,76.0,39.0,68.0,,,,,,
125,WILLIAN JOSE,BETIS,DELANTERO,65.0,72.0,65.0,71.0,36.0,77.0,,,,,,
126,A. RUIBAL,BETIS,DELANTERO,79.0,58.0,61.0,74.0,45.0,63.0,,,,,,
127,JOAQUIN,BETIS,DELANTERO,69.0,78.0,84.0,75.0,46.0,59.0,,,,,,
128,C. TELLO,BETIS,DELANTERO,89.0,77.0,74.0,82.0,48.0,71.0,,,,,,
129,D. LAINEZ,BETIS,DELANTERO,80.0,61.0,68.0,82.0,51.0,65.0,,,,,,
130,ALEX REMIRO,REAL SOCIEDAD,PORTERO,,,,,,,66.0,83.0,73.0,79.0,84.0,81.0
131,M. RYAN,REAL SOCIEDAD,PORTERO,,,,,,,78.0,77.0,75.0,82.0,76.0,79.0
132,R. LE NORMAND,REAL SOCIEDAD,DEFENSA,60.0,28.0,45.0,50.0,51.0,67.0,,,,,,
133,A. ELUSTONDO,REAL SOCIEDAD,DEFENSA,67.0,41.0,57.0,62.0,56.0,73.0,,,,,,
134,GOROSABEL,REAL SOCIEDAD,DEFENSA,75.0,47.0,67.0,71.0,60.0,70.0,,,,,,
135,I. ZUBELDIA,REAL SOCIEDAD,DEFENSA,69.0,66.0,74.0,70.0,63.0,78.0,,,,,,
136,DIEGO RICO,REAL SOCIEDAD,DEFENSA,72.0,68.0,69.0,70.0,59.0,73.0,,,,,,
137,AIHEN MUNOZ,REAL SOCIEDAD,DEFENSA,78.0,51.0,70.0,72.0,60.0,69.0,,,,,,
138,J. ZALDUA,REAL SOCIEDAD,DEFENSA,69.0,43.0,65.0,67.0,59.0,73.0,,,,,,
139,I. MONREAL,REAL SOCIEDAD,DEFENSA,67.0,64.0,74.0,71.0,65.0,72.0,,,,,,
140,ENRIQUE CLEMENTE,REAL SOCIEDAD,DEFENSA,64.0,33.0,47.0,50.0,49.0,63.0,,,,,,
141,MIKEL MERINO,REAL SOCIEDAD,CENTROCAMPISTA,74.0,73.0,80.0,79.0,66.0,81.0,,,,,,
142,D. SILVA,REAL SOCIEDAD,CENTROCAMPISTA,65.0,77.0,87.0,83.0,51.0,70.0,,,,,,
143,ZUBIMENDI,REAL SOCIEDAD,CENTROCAMPISTA,65.0,53.0,69.0,67.0,59.0,71.0,,,,,,
144,A. ILLARRAMENDI,REAL SOCIEDAD,CENTROCAMPISTA,65.0,69.0,78.0,75.0,79.0,73.0,,,,,,
145,JON GURIDI,REAL SOCIEDAD,CENTROCAMPISTA,68.0,51.0,64.0,72.0,56.0,63.0,,,,,,
146,RAFINHA,REAL SOCIEDAD,CENTROCAMPISTA,72.0,75.0,79.0,82.0,61.0,73.0,,,,,,
147,A. GUEVARA,REAL SOCIEDAD,CENTROCAMPISTA,57.0,57.0,71.0,69.0,60.0,70.0,,,,,,
148,M. OYARZABAL,REAL SOCIEDAD,DELANTERO,82.0,78.0,80.0,84.0,43.0,75.0,,,,,,
149,A. SORLOTH,REAL SOCIEDAD,DELANTERO,80.0,70.0,67.0,68.0,36.0,73.0,,,,,,
150,A. ISAK,REAL SOCIEDAD,DELANTERO,83.0,74.0,66.0,80.0,37.0,75.0,,,,,,
151,PORTU,REAL SOCIEDAD,DELANTERO,90.0,75.0,79.0,83.0,57.0,80.0,,,,,,
152,A. JANUZAJ,REAL SOCIEDAD,DELANTERO,80.0,74.0,80.0,83.0,39.0,70.0,,,,,,
153,C. FERNANDEZ,REAL SOCIEDAD,DELANTERO,69.0,60.0,60.0,74.0,32.0,71.0,,,,,,
154,A. BARRENETXEA,REAL SOCIEDAD,DELANTERO,82.0,55.0,63.0,82.0,33.0,69.0,,,,,,
155,G. RULLI,VILLARREAL,PORTERO,,,,,,,65.0,80.0,79.0,78.0,79.0,80.0
156,S. ASENJO,VILLARREAL,PORTERO,,,,,,,73.0,84.0,82.0,77.0,80.0,82.0
157,R. ALBIOL,VILLARREAL,DEFENSA,46.0,49.0,60.0,58.0,57.0,69.0,,,,,,
158,PAU,VILLARREAL,DEFENSA,68.0,42.0,64.0,70.0,57.0,76.0,,,,,,
159,A. PEDRAZA,VILLARREAL,DEFENSA,79.0,68.0,71.0,77.0,60.0,76.0,,,,,,
160,P. ESTUPINAN,VILLARREAL,DEFENSA,83.0,43.0,64.0,76.0,59.0,73.0,,,,,,
161,J. FOYTH,VILLARREAL,DEFENSA,68.0,49.0,66.0,71.0,58.0,73.0,,,,,,
162,A. MANDI,VILLARREAL,DEFENSA,68.0,53.0,74.0,71.0,63.0,75.0,,,,,,
163,S. AURIER,VILLARREAL,DEFENSA,77.0,58.0,73.0,75.0,64.0,78.0,,,,,,
164,ALBERTO MORENO,VILLARREAL,DEFENSA,82.0,60.0,68.0,78.0,62.0,75.0,,,,,,
165,MARIO GASPAR,VILLARREAL,DEFENSA,75.0,69.0,71.0,72.0,61.0,74.0,,,,,,
166,RUBEN PENA,VILLARREAL,DEFENSA,80.0,64.0,69.0,78.0,64.0,73.0,,,,,,
167,D. PAREJO,VILLARREAL,CENTROCAMPISTA,51.0,84.0,89.0,71.0,62.0,68.0,,,,,,
168,E. CAPOUE,VILLARREAL,CENTROCAMPISTA,51.0,72.0,74.0,60.0,62.0,68.0,,,,,,
169,G. LO CELSO,VILLARREAL,CENTROCAMPISTA,77.0,78.0,82.0,82.0,61.0,75.0,,,,,,
170,MANU TRIGUEROS,VILLARREAL,CENTROCAMPISTA,55.0,73.0,78.0,71.0,59.0,71.0,,,,,,
171,F. COQUELIN,VILLARREAL,CENTROCAMPISTA,73.0,61.0,75.0,78.0,67.0,80.0,,,,,,
172,V. IBORRA,VILLARREAL,CENTROCAMPISTA,36.0,69.0,73.0,59.0,58.0,72.0,,,,,,
173,GERARD MORENO,VILLARREAL,DELANTERO,79.0,76.0,77.0,82.0,47.0,79.0,,,,,,
174,B. DIA,VILLARREAL,DELANTERO,79.0,61.0,51.0,74.0,32.0,73.0,,,,,,
175,S. CHUKWUEZE,VILLARREAL,DELANTERO,89.0,70.0,67.0,87.0,43.0,72.0,,,,,,
176,MOI GOMEZ,VILLARREAL,DELANTERO,70.0,71.0,78.0,77.0,50.0,70.0,,,,,,
177,A. DANJUMA,VILLARREAL,DELANTERO,82.0,68.0,71.0,80.0,46.0,70.0,,,,,,
178,YEREMY,VILLARREAL,DELANTERO,79.5,71.66666666666667,68.5,80.0,43.0,72.66666666666667,,,,,,
179,P. ALCACER,VILLARREAL,DELANTERO,78.0,84.0,67.0,80.0,40.0,72.0,,,,,,
180,N. IOSIFOV,VILLARREAL,DELANTERO,79.5,71.66666666666667,68.5,80.0,43.0,72.66666666666667,,,,,,
181,UNAI SIMON,ATHLETIC CLUB,PORTERO,,,,,,,63.0,82.0,77.0,74.0,84.0,83.0
182,J. AGIRREZABALA,ATHLETIC CLUB,PORTERO,,,,,,,60.0,73.5,71.5,69.5,76.5,74.0
183,JOKIN EZKIETA,ATHLETIC CLUB,PORTERO,,,,,,,57.0,65.0,66.0,65.0,69.0,65.0
184,I. MARTINEZ,ATHLETIC CLUB,DEFENSA,71.0,63.0,67.0,66.0,60.0,78.0,,,,,,
185,DE MARCOS,ATHLETIC CLUB,DEFENSA,82.0,63.0,74.0,77.0,62.0,78.0,,,,,,
186,YERAY,ATHLETIC CLUB,DEFENSA,69.0,55.0,60.0,63.0,60.0,75.0,,,,,,
187,DANI VIVIAN,ATHLETIC CLUB,DEFENSA,62.0,32.0,48.0,56.0,50.0,68.0,,,,,,
188,YURI,ATHLETIC CLUB,DEFENSA,83.0,71.0,78.0,78.0,63.0,82.0,,,,,,
189,INIGO LEKUE,ATHLETIC CLUB,DEFENSA,83.0,59.0,69.0,77.0,59.0,71.0,,,,,,
190,UNAI NUNEZ,ATHLETIC CLUB,DEFENSA,73.0,25.0,42.0,54.0,55.0,68.0,,,,,,
191,M. BALENZIAGA,ATHLETIC CLUB,DEFENSA,76.0,55.0,72.0,73.0,58.0,73.0,,,,,,
192,ANDER CAPA,ATHLETIC CLUB,DEFENSA,83.0,68.0,77.0,79.0,66.0,83.0,,,,,,
193,A. PETXARROMAN,ATHLETIC CLUB,DEFENSA,75.77777777777777,54.55555555555556,65.22222222222223,69.22222222222223,59.22222222222222,75.11111111111111,,,,,,
194,I. MUNIAIN,ATHLETIC CLUB,CENTROCAMPISTA,81.0,76.0,82.0,87.0,52.0,74.0,,,,,,
195,MIKEL VESGA,ATHLETIC CLUB,CENTROCAMPISTA,51.0,54.0,70.0,61.0,56.0,70.0,,,,,,
196,OIHAN SANCET,ATHLETIC CLUB,CENTROCAMPISTA,60.75,66.25,73.25,71.25,57.75,73.0,,,,,,
197,DANI GARCIA,ATHLETIC CLUB,CENTROCAMPISTA,43.0,63.0,69.0,65.0,65.0,76.0,,,,,,
198,UNAI VENCEDOR,ATHLETIC CLUB,CENTROCAMPISTA,68.0,72.0,72.0,72.0,58.0,72.0,,,,,,
199,OIER ZARRAGA,ATHLETIC CLUB,CENTROCAMPISTA,60.75,66.25,73.25,71.25,57.75,73.0,,,,,,
200,I. WILLIAMS,ATHLETIC CLUB,DELANTERO,94.0,73.0,73.0,82.0,39.0,82.0,,,,,,
201,ALEX BERENGUER,ATHLETIC CLUB,DELANTERO,83.0,71.0,72.0,83.0,59.0,73.0,,,,,,
202,RAUL GARCIA,ATHLETIC CLUB,DELANTERO,14.0,16.0,14.0,16.0,15.0,41.0,,,,,,
203,NICO WILLIAMS,ATHLETIC CLUB,DELANTERO,66.25,55.0,53.0,62.75,37.75,67.75,,,,,,
204,ASIER VILLALIBRE,ATHLETIC CLUB,DELANTERO,74.0,60.0,53.0,70.0,38.0,75.0,,,,,,
205,NICO SERRANO,ATHLETIC CLUB,DELANTERO,66.25,55.0,53.0,62.75,37.75,67.75,,,,,,
206,JASPER CILLESSEN,VALENCIA,PORTERO,,,,,,,71.0,82.0,81.0,78.0,81.0,81.0
207,G. MAMARDASHVILI,VALENCIA,PORTERO,,,,,,,71.5,77.5,79.0,76.5,76.0,78.0
208,JAUME DOMENECH,VALENCIA,PORTERO,,,,,,,72.0,73.0,77.0,75.0,71.0,75.0
209,J. GAYA,VALENCIA,DEFENSA,83.0,62.0,78.0,81.0,67.0,74.0,,,,,,
210,GABRIEL PAULISTA,VALENCIA,DEFENSA,69.0,52.0,69.0,66.0,61.0,79.0,,,,,,
211,THIERRY CORREIA,VALENCIA,DEFENSA,89.0,53.0,67.0,77.0,57.0,73.0,,,,,,
212,M. DIAKHABY,VALENCIA,DEFENSA,57.0,33.0,50.0,56.0,52.0,69.0,,,,,,
213,D. FOULQUIER,VALENCIA,DEFENSA,79.0,55.0,68.0,74.0,61.0,75.0,,,,,,
214,O. ALDERETE,VALENCIA,DEFENSA,64.0,52.0,58.0,62.0,56.0,71.0,,,,,,
215,E. COMERT,VALENCIA,DEFENSA,75.0,54.0,49.0,63.0,52.0,74.0,,,,,,
216,TONI LATO,VALENCIA,DEFENSA,78.0,58.0,73.0,74.0,59.0,64.0,,,,,,
217,J. VAZQUEZ,VALENCIA,DEFENSA,74.25,52.375,64.0,69.125,58.125,72.375,,,,,,
218,C. MOSQUERA,VALENCIA,DEFENSA,74.25,52.375,64.0,69.125,58.125,72.375,,,,,,
219,C. SOLER,VALENCIA,CENTROCAMPISTA,78.0,74.0,78.0,78.0,59.0,72.0,,,,,,
220,HUGO GUILLAMON,VALENCIA,CENTROCAMPISTA,69.66666666666667,71.33333333333333,72.66666666666667,71.33333333333333,54.333333333333336,70.66666666666667,,,,,,
221,YUNUS MUSAH,VALENCIA,CENTROCAMPISTA,69.66666666666667,71.33333333333333,72.66666666666667,71.33333333333333,54.333333333333336,70.66666666666667,,,,,,
222,ILAIX MORIBA,VALENCIA,CENTROCAMPISTA,69.66666666666667,71.33333333333333,72.66666666666667,71.33333333333333,54.333333333333336,70.66666666666667,,,,,,
223,U. RACIC,VALENCIA,CENTROCAMPISTA,63.0,70.0,74.0,69.0,60.0,75.0,,,,,,
224,KOBA KOINDREDI,VALENCIA,CENTROCAMPISTA,68.0,70.0,66.0,67.0,44.0,65.0,,,,,,
225,G. GUEDES,VALENCIA,DELANTERO,86.0,77.0,76.0,83.0,45.0,74.0,,,,,,
226,M. GOMEZ,VALENCIA,DELANTERO,68.0,72.0,68.0,71.0,35.0,79.0,,,,,,
227,HUGO DURO,VALENCIA,DELANTERO,74.0,52.0,42.0,71.0,33.0,64.0,,,,,,
228,MARCOS ANDRE,VALENCIA,DELANTERO,75.0,64.0,57.0,74.0,41.0,70.0,,,,,,
229,BRYAN GIL,VALENCIA,DELANTERO,78.0,65.0,66.0,80.0,36.0,56.0,,,,,,
230,D. CHERYSHEV,VALENCIA,DELANTERO,77.0,74.0,76.0,75.0,54.0,72.0,,,,,,
231,HELDER COSTA,VALENCIA,DELANTERO,86.0,68.0,68.0,80.0,37.0,62.0,,,,,,
232,SERGIO HERRERA,OSASUNA,PORTERO,,,,,,,56.0,80.0,76.0,73.0,73.0,77.0
233,JUAN PEREZ,OSASUNA,PORTERO,,,,,,,45.0,63.0,65.0,57.0,65.0,67.0
234,DAVID GARCIA,OSASUNA,DEFENSA,55.0,36.0,58.0,59.0,57.0,69.0,,,,,,
