,nombre,equipo,posicion,valor_en_M,ritmo,tiro,pase,regate,defensa,fisico,salto,estirada,parada,saque,colocacion,reflejo
102,K. REKIK,SEVILLA FC,DEFENSA,['8.49'],66.0,39.0,54.0,62.0,54.0,72.0,,,,,,
103,S. ESCUDERO,SEVILLA FC,DEFENSA,['3.61'],72.0,66.0,73.0,71.0,62.0,73.0,,,,,,
104,ALEIX VIDAL,SEVILLA FC,DEFENSA,['2.65'],85.0,61.0,70.0,79.0,60.0,73.0,,,,,,
105,J. GNAGNON,SEVILLA FC,DEFENSA,,55.0,42.0,54.0,57.0,54.0,70.0,,,,,,
106,PABLO PEREZ,SEVILLA FC,DEFENSA,,73.22222222222223,55.0,66.11111111111111,71.44444444444444,60.44444444444444,74.11111111111111,,,,,,
107,I. RAKITIC,SEVILLA FC,CENTROCAMPISTA,['7.95'],61.0,82.0,85.0,73.0,62.0,66.0,,,,,,
108,N. GUDELJ,SEVILLA FC,CENTROCAMPISTA,['15.73'],62.0,79.0,77.0,65.0,68.0,76.0,,,,,,
109,JOAN JORDAN,SEVILLA FC,CENTROCAMPISTA,['15.01'],65.0,76.0,79.0,72.0,55.0,70.0,,,,,,
110,OLIVER TORRES,SEVILLA FC,CENTROCAMPISTA,['9.50'],66.0,69.0,78.0,78.0,57.0,65.0,,,,,,
111,FERNANDO,SEVILLA FC,CENTROCAMPISTA,['2.45'],66.0,64.0,72.0,71.0,62.0,78.0,,,,,,
112,PAPU GOMEZ,SEVILLA FC,CENTROCAMPISTA,['7.27'],88.0,79.0,84.0,89.0,46.0,74.0,,,,,,
113,OSCAR RODRIGUEZ,SEVILLA FC,CENTROCAMPISTA,['11.19'],63.0,73.0,74.0,72.0,49.0,63.0,,,,,,
114,F. VAZQUEZ,SEVILLA FC,CENTROCAMPISTA,['1.76'],49.0,76.0,77.0,69.0,47.0,64.0,,,,,,
115,Y. EN-NESYRI,SEVILLA FC,DELANTERO,['35.23'],78.0,67.0,54.0,75.0,37.0,75.0,,,,,,
116,L. OCAMPOS,SEVILLA FC,DELANTERO,['20.65'],82.0,78.0,78.0,82.0,56.0,83.0,,,,,,
117,L. DE JONG,SEVILLA FC,DELANTERO,['8.57'],55.0,74.0,68.0,64.0,44.0,76.0,,,,,,
118,SUSO,SEVILLA FC,DELANTERO,['11.07'],78.0,81.0,82.0,84.0,37.0,68.0,,,,,,
119,IVAN ROMERO,SEVILLA FC,DELANTERO,,74.6,75.4,71.2,77.6,42.6,74.8,,,,,,
120,MUNIR,SEVILLA FC,DELANTERO,['6.11'],80.0,77.0,74.0,83.0,39.0,72.0,,,,,,
121,ANTONIO ZARZANA,SEVILLA FC,DELANTERO,,74.6,75.4,71.2,77.6,42.6,74.8,,,,,,
122,ALEX REMIRO,REAL SOCIEDAD,PORTERO,['24.00'],,,,,,,66.0,83.0,73.0,79.0,84.0,81.0
123,UNAI MARRERO,REAL SOCIEDAD,PORTERO,,,,,,,,64.0,81.0,72.0,79.0,80.5,78.5
124,GAIZKA AYESA,REAL SOCIEDAD,PORTERO,,,,,,,,64.0,81.0,72.0,79.0,80.5,78.5
125,M. MOYA,REAL SOCIEDAD,PORTERO,,,,,,,,62.0,79.0,71.0,79.0,77.0,76.0
126,R. LE NORMAND,REAL SOCIEDAD,DEFENSA,['23.61'],60.0,28.0,45.0,50.0,51.0,67.0,,,,,,
127,A. ELUSTONDO,REAL SOCIEDAD,DEFENSA,['14.03'],67.0,41.0,57.0,62.0,56.0,73.0,,,,,,
128,GOROSABEL,REAL SOCIEDAD,DEFENSA,['12.45'],75.0,47.0,67.0,71.0,60.0,70.0,,,,,,
129,I. ZUBELDIA,REAL SOCIEDAD,DEFENSA,['13.20'],69.0,66.0,74.0,70.0,63.0,78.0,,,,,,
130,M. SAGNAN,REAL SOCIEDAD,DEFENSA,['8.56'],65.0,32.0,52.0,57.0,48.0,64.0,,,,,,
131,AIHEN MUNOZ,REAL SOCIEDAD,DEFENSA,['8.05'],78.0,51.0,70.0,72.0,60.0,69.0,,,,,,
132,J. ZALDUA,REAL SOCIEDAD,DEFENSA,['7.85'],69.0,43.0,65.0,67.0,59.0,73.0,,,,,,
133,J. PACHECO,REAL SOCIEDAD,DEFENSA,,69.22222222222223,46.333333333333336,62.888888888888886,66.0,57.44444444444444,70.66666666666667,,,,,,
134,I. MONREAL,REAL SOCIEDAD,DEFENSA,,67.0,64.0,74.0,71.0,65.0,72.0,,,,,,
135,J. BLASCO,REAL SOCIEDAD,DEFENSA,,69.22222222222223,46.333333333333336,62.888888888888886,66.0,57.44444444444444,70.66666666666667,,,,,,
136,ALEX SOLA,REAL SOCIEDAD,DEFENSA,['2.39'],73.0,45.0,62.0,74.0,55.0,70.0,,,,,,
137,ARITZ ARAMBARRI,REAL SOCIEDAD,DEFENSA,,69.22222222222223,46.333333333333336,62.888888888888886,66.0,57.44444444444444,70.66666666666667,,,,,,
138,URKO GONZALEZ,REAL SOCIEDAD,DEFENSA,,69.22222222222223,46.333333333333336,62.888888888888886,66.0,57.44444444444444,70.66666666666667,,,,,,
139,MIKEL MERINO,REAL SOCIEDAD,CENTROCAMPISTA,['30.42'],74.0,73.0,80.0,79.0,66.0,81.0,,,,,,
140,D. SILVA,REAL SOCIEDAD,CENTROCAMPISTA,['0.79'],65.0,77.0,87.0,83.0,51.0,70.0,,,,,,
141,ZUBIMENDI,REAL SOCIEDAD,CENTROCAMPISTA,['25.18'],65.0,53.0,69.0,67.0,59.0,71.0,,,,,,
142,A. ILLARRAMENDI,REAL SOCIEDAD,CENTROCAMPISTA,['3.46'],65.0,69.0,78.0,75.0,79.0,73.0,,,,,,
143,JON GURIDI,REAL SOCIEDAD,CENTROCAMPISTA,['1.86'],68.0,51.0,64.0,72.0,56.0,63.0,,,,,,
144,ROBERTO LOPEZ,REAL SOCIEDAD,CENTROCAMPISTA,['2.47'],63.0,66.0,67.0,66.0,31.0,60.0,,,,,,
145,A. GUEVARA,REAL SOCIEDAD,CENTROCAMPISTA,['6.87'],57.0,57.0,71.0,69.0,60.0,70.0,,,,,,
146,ROBERT NAVARRO,REAL SOCIEDAD,CENTROCAMPISTA,,66.625,62.75,73.25,73.0,57.25,69.25,,,,,,
147,OLASAGASTI,REAL SOCIEDAD,CENTROCAMPISTA,,66.625,62.75,73.25,73.0,57.25,69.25,,,,,,
148,BENAT TURRIENTES,REAL SOCIEDAD,CENTROCAMPISTA,,66.625,62.75,73.25,73.0,57.25,69.25,,,,,,
149,L. SANGALLI,REAL SOCIEDAD,CENTROCAMPISTA,['0.73'],76.0,56.0,70.0,73.0,56.0,66.0,,,,,,
150,A. ISAK,REAL SOCIEDAD,DELANTERO,['55.37'],83.0,74.0,66.0,80.0,37.0,75.0,,,,,,
151,M. OYARZABAL,REAL SOCIEDAD,DELANTERO,['36.87'],82.0,78.0,80.0,84.0,43.0,75.0,,,,,,
152,PORTU,REAL SOCIEDAD,DELANTERO,['9.69'],90.0,75.0,79.0,83.0,57.0,80.0,,,,,,
153,A. JANUZAJ,REAL SOCIEDAD,DELANTERO,['8.83'],80.0,74.0,80.0,83.0,39.0,70.0,,,,,,
154,J. LOBETE,REAL SOCIEDAD,DELANTERO,['3.95'],67.0,48.0,42.0,64.0,31.0,60.0,,,,,,
155,C. FERNANDEZ,REAL SOCIEDAD,DELANTERO,['4.15'],69.0,60.0,60.0,74.0,32.0,71.0,,,,,,
156,JON BAUTISTA,REAL SOCIEDAD,DELANTERO,['1.21'],72.0,69.0,57.0,69.0,33.0,66.0,,,,,,
157,A. BARRENETXEA,REAL SOCIEDAD,DELANTERO,['7.95'],82.0,55.0,63.0,82.0,33.0,69.0,,,,,,
158,MERQUELANZ,REAL SOCIEDAD,DELANTERO,,74.0,76.0,74.0,75.0,52.0,65.0,,,,,,
159,CLAUDIO BRAVO,BETIS,PORTERO,['0.09'],,,,,,,81.0,77.0,77.0,84.0,75.0,77.0
160,JOEL ROBLES,BETIS,PORTERO,['2.07'],,,,,,,59.0,76.0,73.0,72.0,73.0,77.0
161,CARLOS MARIN,BETIS,PORTERO,['0.33'],,,,,,,41.0,66.0,65.0,60.0,59.0,57.0
162,DANI REBOLLO,BETIS,PORTERO,['0.41'],,,,,,,63.0,61.0,64.0,64.0,62.0,62.0
163,DANI MARTIN,BETIS,PORTERO,['1.90'],,,,,,,64.0,70.0,67.0,67.0,69.0,73.0
164,M. BARTRA,BETIS,DEFENSA,['11.55'],73.0,60.0,71.0,73.0,63.0,77.0,,,,,,
165,ALEX MORENO,BETIS,DEFENSA,['13.69'],89.0,62.0,71.0,81.0,61.0,73.0,,,,,,
166,EMERSON ROYAL,BETIS,DEFENSA,['22.59'],79.0,61.0,70.0,75.0,62.0,76.0,,,,,,
167,A. MANDI,BETIS,DEFENSA,['14.23'],68.0,53.0,74.0,71.0,63.0,75.0,,,,,,
168,A. RUIBAL,BETIS,DEFENSA,['8.52'],79.0,58.0,61.0,74.0,45.0,63.0,,,,,,
169,J. MIRANDA,BETIS,DEFENSA,['16.54'],63.0,43.0,60.0,65.0,56.0,65.0,,,,,,
170,V. RUIZ,BETIS,DEFENSA,['4.66'],54.0,50.0,65.0,57.0,55.0,72.0,,,,,,
171,SIDNEI,BETIS,DEFENSA,['1.23'],69.0,47.0,58.0,63.0,54.0,72.0,,,,,,
172,FRAN DELGADO,BETIS,DEFENSA,,72.22222222222223,55.888888888888886,66.88888888888889,70.44444444444444,57.77777777777778,71.88888888888889,,,,,,
173,GEOVANNI,BETIS,DEFENSA,,72.22222222222223,55.888888888888886,66.88888888888889,70.44444444444444,57.77777777777778,71.88888888888889,,,,,,
174,M. MONTOYA,BETIS,DEFENSA,['2.72'],76.0,69.0,72.0,75.0,61.0,74.0,,,,,,
175,N. FEKIR,BETIS,CENTROCAMPISTA,['21.66'],80.0,81.0,81.0,84.0,47.0,77.0,,,,,,
176,S. CANALES,BETIS,CENTROCAMPISTA,['17.56'],84.0,79.0,84.0,84.0,62.0,71.0,,,,,,
177,G. RODRIGUEZ,BETIS,CENTROCAMPISTA,['33.46'],56.0,56.0,63.0,60.0,57.0,65.0,,,,,,
178,W. CARVALHO,BETIS,CENTROCAMPISTA,['31.00'],43.0,61.0,77.0,59.0,55.0,72.0,,,,,,
179,RODRI,BETIS,CENTROCAMPISTA,,66.25,66.25,72.125,71.875,54.375,69.25,,,,,,
180,A. GUARDADO,BETIS,CENTROCAMPISTA,['1.68'],67.0,75.0,79.0,77.0,64.0,74.0,,,,,,
181,PAUL,BETIS,CENTROCAMPISTA,['2.56'],65.0,48.0,62.0,66.0,53.0,65.0,,,,,,
182,CAMARASA,BETIS,CENTROCAMPISTA,['2.17'],62.0,71.0,72.0,71.0,59.0,72.0,,,,,,
183,Y. FEKIR,BETIS,CENTROCAMPISTA,['0.19'],73.0,59.0,59.0,74.0,38.0,58.0,,,,,,
184,BORJA IGLESIAS,BETIS,DELANTERO,['14.80'],66.0,63.0,62.0,69.0,39.0,74.0,,,,,,
185,JUANMI,BETIS,DELANTERO,['10.68'],74.0,67.0,67.0,76.0,39.0,68.0,,,,,,
186,JOAQUIN,BETIS,DELANTERO,['0.05'],69.0,78.0,84.0,75.0,46.0,59.0,,,,,,
187,LOREN MORON,BETIS,DELANTERO,['3.24'],73.0,71.0,59.0,74.0,34.0,73.0,,,,,,
188,C. TELLO,BETIS,DELANTERO,['4.23'],89.0,77.0,74.0,82.0,48.0,71.0,,,,,,
189,D. LAINEZ,BETIS,DELANTERO,['5.00'],80.0,61.0,68.0,82.0,51.0,65.0,,,,,,
190,G. RULLI,VILLARREAL,PORTERO,['20.22'],,,,,,,65.0,80.0,79.0,78.0,79.0,80.0
191,S. ASENJO,VILLARREAL,PORTERO,['4.58'],,,,,,,73.0,84.0,82.0,77.0,80.0,82.0
192,IKER ALVAREZ,VILLARREAL,PORTERO,,,,,,,,69.0,82.0,80.5,77.5,79.5,81.0
193,F. JORGENSEN,VILLARREAL,PORTERO,,,,,,,,69.0,82.0,80.5,77.5,79.5,81.0
194,R. ALBIOL,VILLARREAL,DEFENSA,['0.85'],46.0,49.0,60.0,58.0,57.0,69.0,,,,,,
195,PAU,VILLARREAL,DEFENSA,['84.69'],68.0,42.0,64.0,70.0,57.0,76.0,,,,,,
196,P. ESTUPINAN,VILLARREAL,DEFENSA,['42.40'],83.0,43.0,64.0,76.0,59.0,73.0,,,,,,
197,A. PEDRAZA,VILLARREAL,DEFENSA,['17.70'],79.0,68.0,71.0,77.0,60.0,76.0,,,,,,
198,J. FOYTH,VILLARREAL,DEFENSA,['21.56'],68.0,49.0,66.0,71.0,58.0,73.0,,,,,,
199,JAUME COSTA,VILLARREAL,DEFENSA,['2.67'],75.0,61.0,70.0,74.0,62.0,69.0,,,,,,
200,ALBERTO MORENO,VILLARREAL,DEFENSA,['7.75'],82.0,60.0,68.0,78.0,62.0,75.0,,,,,,
201,R. FUNES MORI,VILLARREAL,DEFENSA,['3.53'],61.0,52.0,61.0,64.0,56.0,69.0,,,,,,
202,MARIO GASPAR,VILLARREAL,DEFENSA,['3.30'],75.0,69.0,71.0,72.0,61.0,74.0,,,,,,
203,RUBEN PENA,VILLARREAL,DEFENSA,['4.32'],80.0,64.0,69.0,78.0,64.0,73.0,,,,,,
204,LANCHI,VILLARREAL,DEFENSA,,71.7,55.7,66.4,71.8,59.6,72.7,,,,,,
205,D. PAREJO,VILLARREAL,CENTROCAMPISTA,['16.62'],51.0,84.0,89.0,71.0,62.0,68.0,,,,,,
206,E. CAPOUE,VILLARREAL,CENTROCAMPISTA,['5.91'],51.0,72.0,74.0,60.0,62.0,68.0,,,,,,
207,F. COQUELIN,VILLARREAL,CENTROCAMPISTA,['7.02'],73.0,61.0,75.0,78.0,67.0,80.0,,,,,,
208,MANU TRIGUEROS,VILLARREAL,CENTROCAMPISTA,['14.22'],55.0,73.0,78.0,71.0,59.0,71.0,,,,,,
209,ALEX BAENA,VILLARREAL,CENTROCAMPISTA,,53.2,71.8,77.8,67.8,61.6,71.8,,,,,,
210,V. IBORRA,VILLARREAL,CENTROCAMPISTA,['1.48'],36.0,69.0,73.0,59.0,58.0,72.0,,,,,,
211,C. ADRIANO,VILLARREAL,CENTROCAMPISTA,,53.2,71.8,77.8,67.8,61.6,71.8,,,,,,
